Data Registro,Descricao do Fato,Municipio do Fato,Tipo de Ocorrencia,Hora,Periodo do Dia,Mes,Dia da Semana
2025-01-03,ROUBO DE TELEFONE CELULAR,Porto Alegre,Com Flagrante,0,Madrugada,January,Friday
2025-01-06,ROUBO MOTORISTA/ENTREGAS,Porto Alegre,Com Flagrante,0,Madrugada,January,Monday
2025-01-08,ROUBO A PEDESTRE C/LESOES,Porto Alegre,Com Flagrante,0,Madrugada,January,Wednesday
2025-01-13,ROUBO A ESTABELECIMENTO COMERC,Porto Alegre,Com Flagrante,0,Madrugada,January,Monday
2025-01-14,ROUBO A PEDESTRE C/LESOES,Porto Alegre,Com Flagrante,0,Madrugada,January,Tuesday
2025-01-16,ROUBO A TRANSP. COLETIVO,Porto Alegre,Com Flagrante,0,Madrugada,January,Thursday
2025-01-16,ROUBO COM LESOES,Porto Alegre,Com Flagrante,0,Madrugada,January,Thursday
2025-01-21,ROUBO A MOTORISTA DE APLICATIVO,Porto Alegre,Com Flagrante,0,Madrugada,January,Tuesday
2025-01-21,ROUBO DE TELEFONE CELULAR,Porto Alegre,Com Flagrante,0,Madrugada,January,Tuesday
2025-01-24,OUTROS ROUBOS,Porto Alegre,Com Flagrante,0,Madrugada,January,Friday
2025-01-25,ROUBO DE TELEFONE CELULAR,Porto Alegre,Com Flagrante,0,Madrugada,January,Saturday
2025-01-27,ROUBO A PEDESTRE C/LESOES,Porto Alegre,Com Flagrante,0,Madrugada,January,Monday
2025-01-28,ROUBO DE TELEFONE CELULAR,Porto Alegre,Com Flagrante,0,Madrugada,January,Tuesday
2025-01-29,ROUBO A PEDESTRE,Porto Alegre,Com Flagrante,0,Madrugada,January,Wednesday
2025-01-29,ROUBO A PEDESTRE C/LESOES,Porto Alegre,Com Flagrante,0,Madrugada,January,Wednesday
2025-01-29,ROUBO COM LESOES,Porto Alegre,Com Flagrante,0,Madrugada,January,Wednesday
2025-01-30,OUTROS ROUBOS,Porto Alegre,Com Flagrante,0,Madrugada,January,Thursday
2025-02-01,ROUBO A MOTORISTA DE TAXI,Porto Alegre,Com Flagrante,0,Madrugada,February,Saturday
2025-02-02,ROUBO A PEDESTRE C/LESOES,Porto Alegre,Com Flagrante,0,Madrugada,February,Sunday
2025-02-03,ROUBO A PEDESTRE,Porto Alegre,Com Flagrante,0,Madrugada,February,Monday
2025-02-03,ROUBO DE TELEFONE CELULAR,Porto Alegre,Com Flagrante,0,Madrugada,February,Monday
