data,bairro,tipo_crime,quantidade,zona,fonte,latitude,longitude,observacoes
2024-01-01,Aberta dos Morros,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Passo d'Areia,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Passo d'Areia,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Passo d'Areia,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Passo d'Areia,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Passo d'Areia,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Nonoai,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Nonoai,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Passo d'Areia,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Nonoai,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Nonoai,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Navegantes,Roubo de veículo,2.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Navegantes,Roubo,5.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Navegantes,Lesão corporal,4.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Navegantes,Furto,12.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Navegantes,Ameaça,1.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Mário Quintana,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Nonoai,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Mário Quintana,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Pedra Redonda,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Pedra Redonda,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Santa Cecília,Furto,21.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Santa Cecília,Ameaça,1.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Rubem Berta,Tráfico de drogas,2.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Rubem Berta,Roubo de veículo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Rubem Berta,Roubo,13.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Rubem Berta,Lesão corporal,9.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Rubem Berta,Furto,24.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Pedra Redonda,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Rubem Berta,Ameaça,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Ponta Grossa,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ponta Grossa,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ponta Grossa,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ponta Grossa,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ponta Grossa,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Pedra Redonda,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Pedra Redonda,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Praia de Belas,Homicídio,1.0,Centro,Dataset Original,,,
2024-01-01,Mário Quintana,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Mário Quintana,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Mário Quintana,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Mapa,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mapa,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mapa,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mapa,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mapa,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mapa,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Lami,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Marcílio Dias,Ameaça,1.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Lami,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lami,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lami,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lageado,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lageado,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lageado,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lageado,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lageado,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Lami,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Marcílio Dias,Furto,21.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Marcílio Dias,Lesão corporal,5.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Marcílio Dias,Roubo,8.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Mont'Serrat,Roubo de veículo,2.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mont'Serrat,Roubo,5.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mont'Serrat,Lesão corporal,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mont'Serrat,Furto,9.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mont'Serrat,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Medianeira,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Medianeira,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Medianeira,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Medianeira,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Medianeira,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Mathias Velho,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mathias Velho,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mathias Velho,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mathias Velho,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mathias Velho,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Mathias Velho,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Marcílio Dias,Roubo de veículo,4.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Santa Cecília,Lesão corporal,5.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Jardim do Salso,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Santa Cecília,Roubo,8.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Santo Antônio,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila Ipiranga,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Vila Ipiranga,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Vila Ipiranga,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Vila Ipiranga,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Vila Conceição,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Conceição,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Conceição,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Ipiranga,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Vila Conceição,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Assunção,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Assunção,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Assunção,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Assunção,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Assunção,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Três Figueiras,Tráfico de drogas,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Três Figueiras,Roubo de veículo,5.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila Conceição,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Três Figueiras,Roubo,11.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila Ipiranga,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Vila João Pessoa,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila Farrapos,Furto,,Norte,Modelo UFRGS (estimado),-30.006957692702084,-51.24420556421747,Dados estimados baseados no modelo UFRGS para Vila Farrapos
2024-01-01,Chácara do Banco,Outros,,Oeste,Modelo UFRGS (estimado),-29.94161943747193,-51.17663391552242,Dados estimados baseados no modelo UFRGS para Chácara do Banco
2024-01-01,Campo da Tuca,Ameaça,,Leste,Modelo UFRGS (estimado),-29.984380065788468,-51.240957398481775,Dados estimados baseados no modelo UFRGS para Campo da Tuca
2024-01-01,Volta do Guerino,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Volta do Guerino,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Volta do Guerino,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Volta do Guerino,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila João Pessoa,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Volta do Guerino,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila Nova,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Nova,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Nova,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila Nova,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Vila João Pessoa,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila João Pessoa,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila João Pessoa,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
