data_registro,hora,tipo_crime,bairro,municipio,ano,dia_semana,mes,periodo_dia,mortes_intervencao_policial,prisoes_realizadas,apreensoes_armas,apreensoes_drogas_kg,policiais_envolvidos,tipo_operacao
2024-01-01,14:37,roubo_pedestres,Vila Nova,Porto Alegre,2024,domingo,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,08:49,roubo_veiculos,Centro Histórico,Porto Alegre,2024,domingo,1,manhã,0.0,0.0,0.0,0.53,5.0,Patrulha Maria da Penha
2024-01-01,06:18,roubo_pedestres,Restinga,Porto Alegre,2024,domingo,1,manhã,0.0,0.0,0.0,0.0,2.0,Monitoramento Agressor
2024-01-01,08:51,roubo_veiculos,Partenon,Porto Alegre,2024,quinta,1,manhã,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,13:33,furto_celulares,Cidade Baixa,Porto Alegre,2024,quarta,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,12:08,roubo_pedestres,São José,Porto Alegre,2024,quarta,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,07:04,furto_celulares,Partenon,Porto Alegre,2024,domingo,1,manhã,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,08:49,roubo_veiculos,Cidade Baixa,Porto Alegre,2024,domingo,1,manhã,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,14:04,roubo_veiculos,Moinhos de Vento,Porto Alegre,2024,quarta,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,15:35,roubo_pedestres,Farroupilha,Porto Alegre,2024,quarta,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,16:09,roubo_pedestres,Cidade Baixa,Porto Alegre,2024,quinta,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,12:46,roubo_veiculos,Camaquã,Porto Alegre,2024,domingo,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,14:55,roubo_pedestres,São José,Porto Alegre,2024,sexta,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,06:52,roubo_pedestres,Mário Quintana,Porto Alegre,2024,quinta,1,manhã,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,17:50,furto_celulares,Humaitá,Porto Alegre,2024,sábado,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,11:26,furto_celulares,Cavalhada,Porto Alegre,2024,sexta,1,manhã,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,15:27,furto_celulares,Centro Histórico,Porto Alegre,2024,sábado,1,tarde,0.0,0.0,0.0,0.53,5.0,Patrulha Maria da Penha
2024-01-01,23:20,furto_celulares,Restinga,Porto Alegre,2024,segunda,1,noite,0.0,0.0,0.0,0.0,2.0,Monitoramento Agressor
2024-01-01,22:32,roubo_pedestres,Cristal,Porto Alegre,2024,sexta,1,noite,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,13:39,roubo_pedestres,Mário Quintana,Porto Alegre,2024,quarta,1,tarde,0.0,0.0,0.0,0.0,0.0,Nenhuma
2024-01-01,18:19,roubo_transporte,Centro Histórico,Porto Alegre,2024,quinta,1,noite,0.0,0.0,0.0,0.53,5.0,Patrulha Maria da Penha
2024-01-01,19:49,furto_celulares,Restinga,Porto Alegre,2024,sexta,1,noite,0.0,0.0,0.0,0.0,2.0,Monitoramento Agressor
